Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
Turkey Soup,american,paleo,1142.58,693.64,287.86,2022-10-16,17:24:13,2124.08
Turkey Spaghetti Zoodles,american,paleo,122.69,96.81,51.15,2022-10-16,17:21:18,270.65
Turkey Taco Balls,american,paleo,83.4,29.79,24.43,2022-10-16,17:24:06,137.62
Turkey Tetrazzini,american,dash,78.39,131.57,21.1,2022-10-16,20:39:43,231.06
Turkey Veggie Meatballs With Spaghetti Squash,american,paleo,122.78,147.94,51.84,2022-10-16,17:21:24,322.56
"Turkey and Summer Vegetable Soup (Paleo, Whole30 + Keto)",american,keto,242.35,156.35,111.04,2022-10-16,18:07:50,509.74
"Turkey, Apple and Havarti Sandwich",american,dash,29.61,34.92,25.63,2022-10-16,20:35:38,90.16
Turkey-Stuffed Mushrooms with Roasted Tomato Aioli,american,dash,36.12,29.26,29.06,2022-10-16,20:39:09,94.44
Turkish Meat Bread,middle eastern,mediterranean,59.02,186.01,62.86,2022-10-16,16:47:11,307.89
Turmeric Carrot Spread,mediterranean,dash,7.34,31.2,44.58,2022-10-16,20:33:11,83.12
"Turmeric Chicken Skillet (Paleo, Whole30 + Keto)",mediterranean,keto,168.36,218.61,79.87,2022-10-16,17:58:43,466.84
Tuscan Black Cabbage Bruschetta - (Crostoni Di Cavolo Nero),italian,vegan,15.29,69.67,4.0,2022-10-16,20:10:17,88.96
Tuscan Chicken And Artichokes With Toasted Pine Nut Couscous Recipe,mediterranean,mediterranean,194.02,217.71,153.61,2022-10-16,16:48:44,565.34
Tuscan Hummus,italian,vegan,77.06,228.87,73.14,2022-10-16,20:10:03,379.07
Tuscan Keto Chicken,italian,keto,271.64,29.01,169.33,2022-10-16,18:00:10,469.98
Tuscan Pork Tenderloin,italian,keto,375.92,8.09,64.63,2022-10-16,18:09:12,448.64
Tuscan Tomato Soup,italian,vegan,53.19,174.27,38.44,2022-10-16,20:09:16,265.9
Tuscan White Beans,italian,mediterranean,108.6,291.91,76.37,2022-10-16,16:46:04,476.88
Tuscan white beans w/ roasted vegetables,italian,vegan,149.35,411.98,43.73,2022-10-16,20:11:18,605.06
"Twice Baked Sweet Potatoes with Rosemary, Gruyere and Coffee Spiced Pecans",american,dash,14.69,85.49,46.72,2022-10-16,20:33:58,146.9
Twice-Roasted Miniature Pumpkins with Onions and Thyme,american,vegan,31.28,151.92,57.22,2022-10-16,20:11:04,240.42
Two -Acid Mediterranean Pasta Salad,mediterranean,dash,89.74,405.64,260.21,2022-10-16,20:36:12,755.59
Two -Acid Mediterranean Pasta Salad,mediterranean,mediterranean,89.74,405.64,260.21,2022-10-16,16:45:24,755.59
Two Turtledoves Cocktail Recipe,american,dash,1.72,163.83,1.87,2022-10-16,20:35:12,167.42
Two-Ingredient Chocolate Banana Ice Cream {Vegan} recipes,american,paleo,7.84,117.07,3.42,2022-10-16,17:23:53,128.33
Tzatziki,mediterranean,mediterranean,35.545,54.629999999999995,24.63,2022-10-16,16:47:17,114.8
Tzatziki: Indian Style {Low Carb and Keto},mediterranean,keto,29.68,29.92,10.49,2022-10-16,18:06:07,70.09
ULTIMATE KETO LOW CARB BACON CHEESE BURGER,american,keto,23.41,10.49,70.25,2022-10-16,18:06:34,104.15
"ULTIMATE RAW VEGAN PIZZA (LOW-FAT, OIL-FREE, SALT-FREE) recipes",italian,vegan,26.97,147.83,5.81,2022-10-16,20:08:53,180.61
Ultimat Sparkler,world,dash,0.32,16.32,0.08,2022-10-16,20:31:58,16.72
Ultimate Country Style Soup,american,dash,78.05,104.08,175.56,2022-10-16,20:32:37,357.69
Ultimate Keto Burger | The Bacon Smash Burger,american,keto,82.93,10.5,176.6,2022-10-16,18:05:40,270.03
Ultimate Keto Fathead Cauliflower Pizza Crust in the Known Universe,italian,keto,53.33,34.03,79.24,2022-10-16,18:08:31,166.6
Ultimate Keto Hamburgers,american,keto,60.89,64.68,115.62,2022-10-16,18:00:16,241.19
Ultimate Loaded Grilled Vegan BLT,american,vegan,46.21,92.01,60.29,2022-10-16,20:13:27,198.51
Ultimate Mashed Potatoes,american,dash,75.03,360.54,129.02,2022-10-16,20:36:39,564.59
Ultimate Roast Chicken,american,mediterranean,175.44,20.12,155.5,2022-10-16,16:45:10,351.06
Ultimate Vegan Lentil Walnut Loaf recipes,american,vegan,76.55,333.74,32.63,2022-10-16,20:07:39,442.92
Ultimate Vegan Thanksgiving Gravy,american,vegan,27.2,102.17,42.17,2022-10-16,20:05:17,171.54
Ultra Creamy Mashed Potatoes,american,dash,56.775000000000006,296.995,74.83500000000001,2022-10-16,20:33:44,428.6
Ultra Moist Carrot Cake recipes,american,dash,76.66,904.06,327.66,2022-10-16,20:38:20,1308.38
Ultra Moist Keto Blackberry Muffins,american,keto,82.78,137.32,228.07,2022-10-16,18:04:26,448.17
Ultra-Creamy Mashed Potatoes,american,dash,69.03,370.79,77.97,2022-10-16,20:32:51,517.79
Un-Fried Chicken,american,dash,283.53,198.39,384.62,2022-10-16,20:38:27,866.54
Unbelievable Vegan Mashed Potatoes,american,vegan,23.17,144.98,35.42,2022-10-16,20:13:20,203.57
VEGAN COLESLAW,american,vegan,10.9,28.5,38.95,2022-10-16,20:12:53,78.35
VEGAN PENNE WITH VODKA SAUCE,american,vegan,107.55,480.93,253.29,2022-10-16,20:06:11,841.77
VIETNAMESE RICE NOODLE SOUP (VEGAN PHO),south east asian,vegan,31.1,207.84,18.92,2022-10-16,20:06:52,257.86
Val's Paleo Ketchup,italian,paleo,10.16,83.67,1.52,2022-10-16,17:28:46,95.35
Vanilla And Chocolate Tuiles,american,dash,15.19,105.42,47.49,2022-10-16,20:35:38,168.1
Vanilla Bean Crème Brûlée,french,dash,52.16,163.36,53.35,2022-10-16,20:31:04,268.87
Vanilla Date Pudding,british,dash,38.76,343.76,94.42,2022-10-16,20:37:33,476.94
Vanilla Roasted Walnuts,american,dash,1.24,33.92,18.73,2022-10-16,20:31:31,53.89
Vanilla Shrimp Crostini,italian,mediterranean,111.52,164.39,76.33,2022-10-16,16:50:25,352.24
Vanilla Torte With Raspberry Filling And Chocolate Frosting,american,vegan,114.32,908.43,238.33,2022-10-16,20:04:50,1261.08
Vasilopita,french,mediterranean,103.98,798.0,274.18,2022-10-16,16:47:31,1176.16
Veal Meatballs with Braised Vegetables,italian,mediterranean,113.91,113.69,164.46,2022-10-16,16:47:37,392.06
Veal in Savoy Cabbage with Mushroom Sauce,british,dash,330.04,184.29,255.12,2022-10-16,20:36:52,769.45
"Vegan ""B.L.A.T.""s: Lettuce, Tomato, Avocado, and Crispy Smoked Mushroom Sandwiches Recipe",american,vegan,20.82,77.06,45.26,2022-10-16,20:03:10,143.14
"Vegan ""Cheesy"" Pumpkin Seeds",american,vegan,83.58,32.84,153.89,2022-10-16,20:05:11,270.31
"Vegan ""Ice Cream""",american,vegan,3.15,28.35,4.84,2022-10-16,20:03:57,36.34
"Vegan ""Pancit Bihon"" with Spaghetti Squash",american,vegan,14.17,90.83,32.26,2022-10-16,20:06:45,137.26
Vegan (Or Not) Peach Creamsicle Sherbet,american,dash,55.03,439.96,52.51,2022-10-16,20:31:04,547.5
Vegan (Or Not) Peach Creamsicle Sherbet,american,vegan,55.03,439.96,52.51,2022-10-16,20:02:42,547.5
Vegan Aioli,american,vegan,10.34,20.64,38.41,2022-10-16,20:13:07,69.39
Vegan Anytime Risotto,american,vegan,67.37,327.18,59.52,2022-10-16,20:04:24,454.07
Vegan Apple Betty,american,vegan,16.14,360.76,60.46,2022-10-16,20:13:13,437.36
Vegan Asparagus Avocado Soup,american,vegan,40.99,112.72,125.04,2022-10-16,20:04:57,278.75
Vegan Asparagus Risotto,american,vegan,30.84,247.0,16.36,2022-10-16,20:04:04,294.2
Vegan Avocado Ceviche recipes,american,vegan,9.15,39.7,43.86,2022-10-16,20:05:31,92.71
Vegan Avocado Ice Cream,american,vegan,14.45,190.05,130.85,2022-10-16,20:04:50,335.35
Vegan Avocado Lime Ice Cream Recipe,american,vegan,12.58,259.48,88.12,2022-10-16,20:06:45,360.18
Vegan BBQ teriyaki tofu,asian,vegan,71.0,62.88,53.38,2022-10-16,20:04:57,187.26
Vegan BLATs (BLTs with Avocado),american,vegan,41.62,119.38,71.62,2022-10-16,20:02:56,232.62
Vegan BLT,american,vegan,26.6,57.13,55.22,2022-10-16,20:12:53,138.95
Vegan BLT Sandwich,american,vegan,21.41,32.94,51.84,2022-10-16,20:13:27,106.19
Vegan Baileys Truffles,american,vegan,16.69,137.19,298.32,2022-10-16,20:13:13,452.2
Vegan Baked Banana Donuts,american,vegan,6.02,308.57,4.73,2022-10-16,20:05:17,319.32
Vegan Baked Beans,american,vegan,98.26,403.51,48.14,2022-10-16,20:04:10,549.91
Vegan Bakery-Style Banana Muffins,american,vegan,54.07,584.1,8.27,2022-10-16,20:06:11,646.44
Vegan Bakery-Style Blueberry Muffins,american,vegan,60.67,558.45,19.72,2022-10-16,20:05:51,638.84
Vegan Banana Cashew Yogurt,american,vegan,29.25,102.35,62.48,2022-10-16,20:05:17,194.08
Vegan Banana Chocolate Chip Muffins,american,vegan,36.93,418.54,106.0,2022-10-16,20:03:03,561.47
Vegan Banana Coconut Ice Cream Recipe,american,vegan,12.53,369.55,105.65,2022-10-16,20:06:38,487.73
Vegan Banana Ice Cream,american,vegan,11.88,169.1,97.21,2022-10-16,20:05:31,278.19
Vegan Banana Muffins,american,vegan,22.36,316.56,118.11,2022-10-16,20:04:30,457.03
Vegan Basil Cashew Pesto,american,vegan,28.42,30.95,99.52,2022-10-16,20:04:57,158.89
Vegan Basil Hummus Stuffed Mushrooms,american,mediterranean,9.35,21.07,1.7,2022-10-16,16:49:12,32.12
Vegan Basil Pesto,american,vegan,20.29,25.97,96.69,2022-10-16,20:04:30,142.95
Vegan Basil “Chicken”,american,vegan,70.45,43.51,63.81,2022-10-16,20:04:30,177.77
Vegan Beer Brats,american,vegan,315.1,112.22,86.61,2022-10-16,20:13:00,513.93
Vegan Beet Burgers with Sweet Chili Slaw,american,vegan,55.2,303.88,59.95,2022-10-16,20:07:46,419.03
Vegan Bistro Lunch Box,american,mediterranean,8.25,28.23,8.52,2022-10-16,16:46:17,45.0
Vegan Bistro Lunch Box,american,vegan,8.25,28.23,8.52,2022-10-16,20:04:50,45.0
Vegan Black Bean Burgers,american,vegan,92.30000000000001,297.235,75.865,2022-10-16,20:03:10,465.4
Vegan Black Bean and Squash Chili Recipe,american,vegan,97.48,229.27,101.69,2022-10-16,20:03:30,428.44
Vegan Black Beans,american,vegan,104.19,316.86,49.68,2022-10-16,20:04:10,470.73
Vegan Black Sesame Milkshakes,american,vegan,18.8,76.81,117.06,2022-10-16,20:05:44,212.67
Vegan Blueberry Crisp,american,vegan,30.9,196.29,153.5,2022-10-16,20:04:04,380.69
Vegan Blueberry Muffins,american,vegan,33.07,422.0,94.49,2022-10-16,20:04:37,549.56
Vegan Blueberry Pie,american,vegan,27.46,448.09,131.15,2022-10-16,20:03:03,606.7
Vegan Broccoli Cream Soup Recipe,american,vegan,23.5,92.68,28.95,2022-10-16,20:05:58,145.13
Vegan Broccoli Soup Recipe,american,vegan,103.83,82.54,139.3,2022-10-16,20:02:29,325.67
Vegan Brownies recipes,french,vegan,50.815000000000005,403.05,179.09,2022-10-16,20:02:56,632.96
Vegan Buddha Bowl,american,vegan,57.85,227.15,105.16,2022-10-16,20:04:37,390.16
Vegan Burrito Bowls with Cauliflower Rice,mexican,vegan,25.61,50.07,58.11,2022-10-16,20:06:32,133.79
Vegan Butter Chicken recipes,american,vegan,52.94,121.02,76.27,2022-10-16,20:05:51,250.23
Vegan Butternut Squash Soup,american,vegan,17.34,91.39,115.59,2022-10-16,20:05:11,224.32
Vegan Caesar Dressing,american,vegan,12.870000000000001,19.65,109.765,2022-10-16,20:04:24,142.28
Vegan Caesar Salad Dressing,american,vegan,28.01,37.29,67.87,2022-10-16,20:02:42,133.17
Vegan Caesar Salad recipes,american,vegan,55.62,193.4,143.75,2022-10-16,20:05:38,392.77
Vegan Caesar Salad with Polenta Croutons,american,vegan,75.65,219.09,54.16,2022-10-16,20:07:12,348.9
Vegan Cafe Corn Chowder,american,vegan,27.46,269.14,100.24,2022-10-16,20:13:34,396.84
Vegan Campfire Smores,american,vegan,26.2,237.91,108.67,2022-10-16,20:12:53,372.78
Vegan Candied Almonds,american,vegan,120.98,530.66,289.27,2022-10-16,20:02:35,940.91
Vegan Candy | Vegan Chocolate | Vegetarian Chocolate,american,vegan,77.84,299.39,211.54,2022-10-16,20:12:53,588.77
Vegan Caprese Salad recipes,american,vegan,59.695,46.254999999999995,52.61,2022-10-16,20:05:17,158.56
Vegan Carbonara Pasta Recipe,american,vegan,114.96,383.39,128.65,2022-10-16,20:04:57,627.0
Vegan Carrot Ginger Coconut Soup,american,vegan,29.08,129.28,68.93,2022-10-16,20:06:32,227.29
Vegan Carrot Jalapeño Soup,american,vegan,20.77,90.18,59.76,2022-10-16,20:05:31,170.71
Vegan Carrot Spice Muffins recipes,american,vegan,52.3,443.44,47.22,2022-10-16,20:06:59,542.96
Vegan Cashew Caesar Salad,american,vegan,38.86,89.46,101.6,2022-10-16,20:05:11,229.92
Vegan Cassoulet,american,vegan,32.89,192.7,911.66,2022-10-16,20:03:57,1137.25
Vegan Cauliflower Alfredo Bake,american,vegan,114.36,389.31,28.11,2022-10-16,20:02:49,531.78
Vegan Cauliflower Buffalo Wings,american,vegan,52.39,263.63,47.66,2022-10-16,20:03:03,363.68
Vegan Cauliflower Fettuccine Alfredo with Kale,american,vegan,75.91,290.12,71.3,2022-10-16,20:06:25,437.33
Vegan Cauliflower Fried Rice,chinese,vegan,42.07,84.73,76.58,2022-10-16,20:05:44,203.38
Vegan Cauliflower Soup,american,vegan,26.33,36.65,29.47,2022-10-16,20:03:57,92.45
Vegan Cauliflower Steaks with Mushroom Gravy,american,vegan,37.21,111.41,69.17,2022-10-16,20:06:25,217.79
Vegan Champagne Truffles,american,vegan,36.43,187.43,149.5,2022-10-16,20:13:20,373.36
Vegan Chanterelle Quiche,french,vegan,43.26,200.51,30.65,2022-10-16,20:13:27,274.42
Vegan Cheese Enchiladas,american,vegan,86.0,180.46,97.22,2022-10-16,20:13:07,363.68
Vegan Cheese Pumpkin,american,vegan,117.38,147.3,248.45,2022-10-16,20:13:00,513.13
Vegan Cheesecake,american,vegan,81.6,408.57,249.34,2022-10-16,20:13:20,739.51
Vegan Cheesy Corn Casserole recipes,american,vegan,42.68,350.4,179.88,2022-10-16,20:13:00,572.96
Vegan Cherry Pie recipes,american,vegan,87.4,1168.14,445.86,2022-10-16,20:13:07,1701.4
Vegan Chicken Nuggets,american,vegan,119.69,80.59,33.4,2022-10-16,20:02:29,233.68
Vegan Chickpea Alfredo,american,vegan,142.21,512.07,75.14,2022-10-16,20:04:37,729.42
Vegan Chickpea Cakes with Mashed Avocado Recipe,american,vegan,74.62,351.32,160.23,2022-10-16,20:03:23,586.17
Vegan Chickpea Chile Soup with Greens and Grains,american,vegan,56.37,226.91,31.65,2022-10-16,20:08:06,314.93
Vegan Chickpea Coconut Curry,american,vegan,19.93,100.18,134.96,2022-10-16,20:05:04,255.07
Vegan Chickpea Crab Cakes,american,vegan,81.59,304.48,221.1,2022-10-16,20:03:10,607.17
Vegan Chickpea Curry,american,vegan,71.67,244.33,64.8,2022-10-16,20:04:10,380.8
Vegan Chili,american,vegan,80.22,289.87,39.045,2022-10-16,20:03:57,409.14
Vegan Chili Mac,american,vegan,74.67,242.04,66.9,2022-10-16,20:04:10,383.61
Vegan Chili and Cornbread Casserole,american,vegan,319.54,1159.0,291.7,2022-10-16,20:05:51,1770.24
Vegan Chipotle Lentil Tacos,american,vegan,136.34,428.83,53.51,2022-10-16,20:05:51,618.68
Vegan Chocolate & Pumpkin Pudding,british,vegan,4.65,77.96,4.75,2022-10-16,20:04:44,87.36
Vegan Chocolate Babka,american,vegan,38.94,333.75,88.42,2022-10-16,20:04:37,461.11
Vegan Chocolate Cake,american,vegan,50.01,722.29,229.58,2022-10-16,20:04:10,1001.88
Vegan Chocolate Cake and Frosting recipes,american,vegan,76.8,1295.31,756.82,2022-10-16,20:03:30,2128.93
Vegan Chocolate Cake with Creamy Chocolate Filling,american,vegan,82.81,942.6,262.43,2022-10-16,20:07:26,1287.84
Vegan Chocolate Cheesecake,american,vegan,102.78999999999999,787.025,348.52,2022-10-16,20:03:03,1238.34
Vegan Chocolate Dipped Strawberries,american,vegan,8.66,83.05,46.09,2022-10-16,20:04:44,137.8
Vegan Chocolate Frosting recipes,american,vegan,20.15,403.55499999999995,351.22499999999997,2022-10-16,20:02:35,774.93
Vegan Chocolate Frosting | Vegan Chocolate | Vegetarian Chocolate,american,vegan,6.93,227.99,35.67,2022-10-16,20:12:53,270.59
Vegan Chocolate Ganache,american,vegan,8.48,114.52,95.53,2022-10-16,20:12:53,218.53
Vegan Chocolate Ganache Cupcakes with Salted Caramel and Dark Chocolate Buttercream,american,vegan,120.61,1486.52,685.22,2022-10-16,20:04:17,2292.35
Vegan Chocolate Gingerbread Bourbon Balls,american,vegan,47.1,482.04,216.53,2022-10-16,20:13:20,745.67
Vegan Chocolate Layer Cake With Creamy Chocolate Filling,american,vegan,82.81,942.6,262.43,2022-10-16,20:08:13,1287.84
Vegan Chocolate Milkshake,american,vegan,21.17,120.27,41.1,2022-10-16,20:04:30,182.54
Vegan Chocolate Mousse,american,vegan,41.81,212.07,100.09,2022-10-16,20:04:24,353.97
Vegan Chocolate Orange Muffins,american,vegan,34.66,266.45,64.99,2022-10-16,20:05:24,366.1
Vegan Chocolate Peanut Butter Cups recipes,american,vegan,66.4,239.64,284.24,2022-10-16,20:02:35,590.28
Vegan Chocolate Pie,american,vegan,45.5,351.59000000000003,161.115,2022-10-16,20:02:29,558.21
Vegan Chocolate Sorbet,american,vegan,7.27,173.78,51.9,2022-10-16,20:04:10,232.95
Vegan Chocolate Tart With Salted Oat Crust,american,vegan,61.46,529.8,330.19,2022-10-16,20:03:30,921.45
Vegan Chocolate Tart with Salted Oat Crust recipes,american,vegan,61.46,529.8,330.19,2022-10-16,20:03:30,921.45
Vegan Chocolate and Raspberry Panna Cotta,american,vegan,33.99,158.29,73.24,2022-10-16,20:02:56,265.52
Vegan Chocolate-Covered Digestive Biscuits Recipe,american,vegan,37.68,313.69,226.63,2022-10-16,20:03:23,578.0
Vegan Chocolate-Dipped Frozen Banana Bites,american,vegan,29.04,178.5,73.99,2022-10-16,20:02:42,281.53
Vegan Chocolate-Ganache Frosting,american,vegan,19.52,191.74,165.39,2022-10-16,20:04:57,376.65
Vegan Chocolate-Peanut Butter Pudding Cups,british,vegan,65.49,340.58,271.16,2022-10-16,20:07:19,677.23
Vegan Chorizo for Omnivores Recipe,american,vegan,170.52,351.7,94.17,2022-10-16,20:05:38,616.39
Vegan Christmas cake,american,vegan,101.45,1210.44,371.51,2022-10-16,20:04:17,1683.4
Vegan Christmas pudding,american,vegan,60.68,1131.87,113.81,2022-10-16,20:04:04,1306.36
Vegan Cinnamon Rolls Recipe,american,vegan,62.84,884.18,321.47,2022-10-16,20:02:35,1268.49
Vegan Classic Cheesecake,american,vegan,105.08,635.06,243.29,2022-10-16,20:02:42,983.43
Vegan Coconut Banana Ice Cream recipes,american,vegan,12.71,127.44,84.77,2022-10-16,20:06:59,224.92
Vegan Coconut Bars,world,vegan,14.76,330.45,79.45,2022-10-16,20:04:37,424.66
Vegan Coconut Caramel,american,vegan,4.63,54.29,77.54,2022-10-16,20:13:00,136.46
Vegan Coconut Chickpea Curry,american,vegan,86.87,501.32,53.58,2022-10-16,20:04:57,641.77
Vegan Coconut Cream Tart with White Peaches and Blueberries,american,paleo,39.45,285.88,109.49,2022-10-16,17:21:31,434.82
Vegan Coconut Cream Tart with White Peaches and Blueberries,american,vegan,39.45,285.88,109.49,2022-10-16,20:08:06,434.82
Vegan Coconut Zucchini Chocolate Chip Bread,american,vegan,45.07,364.82,232.78,2022-10-16,20:07:05,642.67
"Vegan Coconut, Lime, and Rum Ice Cream Recipe",american,vegan,22.2,253.22,219.46,2022-10-16,20:07:32,494.88
Vegan Coconut-Lime Panna Cotta with Mango Jam,american,vegan,17.71,157.36,54.27,2022-10-16,20:07:53,229.34
Vegan Coleslaw,american,vegan,12.89,49.08,58.2,2022-10-16,20:13:27,120.17
Vegan Corn Soup,american,vegan,29.92,164.72,38.37,2022-10-16,20:03:57,233.01
Vegan Cornbread Stuffing,american,vegan,64.42,421.16,91.7,2022-10-16,20:02:42,577.28
Vegan Cream Cheese Frosting,american,vegan,7.3,246.7,84.86,2022-10-16,20:13:13,338.86
Vegan Cream Of Broccoli Soup,american,vegan,58.515,152.4,65.06,2022-10-16,20:03:10,275.98
Vegan Cream Of Mushroom Soup With Not So Vegan Herb Bread,american,vegan,71.33,222.41,121.53,2022-10-16,20:03:10,415.27
Vegan Cream of Broccoli Soup,american,vegan,50.28,107.77,31.46,2022-10-16,20:06:11,189.51
Vegan Cream of Broccoli Soup recipes,american,vegan,41.97,142.86,18.91,2022-10-16,20:06:32,203.74
Vegan Cream of Mushroom Soup With Crispy Shiitake Chips Recipe,american,vegan,38.03,122.84,130.18,2022-10-16,20:03:17,291.05
Vegan Cream of Mushroom and Wild Rice Soup,american,vegan,47.23,183.97,66.42,2022-10-16,20:07:59,297.62
Vegan Creamed Spinach,american,vegan,36.05,57.08,38.48,2022-10-16,20:13:07,131.61
Vegan Creamed Spinach Phyllo Tart,american,vegan,37.19,110.15,134.27,2022-10-16,20:13:13,281.61
Vegan Creamy Coleslaw,american,vegan,6.76,40.99,68.13,2022-10-16,20:02:49,115.88
Vegan Creamy Curried Pumpkin Soup,american,vegan,63.88,290.85,179.29,2022-10-16,20:06:38,534.02
Vegan Creme Brulee Buttermilk Cupcakes,american,vegan,41.75,1133.7,415.07,2022-10-16,20:02:56,1590.52
Vegan Crispy Roasted Cauliflower,american,vegan,33.34,42.56,46.01,2022-10-16,20:05:51,121.91
Vegan Crispy Stir-Fried Tofu With Broccoli Recipe,asian,vegan,67.23,204.3,282.72,2022-10-16,20:08:20,554.25
Vegan Cucumber Tea Sandwiches,american,vegan,41.73,143.91,73.88,2022-10-16,20:02:29,259.52
Vegan Curry Butternut Squash Soup With Kale Recipe,american,vegan,37.46,163.3,59.63,2022-10-16,20:07:59,260.39
Vegan Dal Makhni recipes,american,vegan,68.31,177.32,70.78,2022-10-16,20:05:44,316.41
Vegan Dan Dan Noodles Recipe,asian,vegan,45.41,189.76,105.4,2022-10-16,20:06:32,340.57
Vegan Dark Chocolate Coconut Tart,american,paleo,32.24,221.1,103.54,2022-10-16,17:21:31,356.88
Vegan Dark Chocolate Coconut Tart,american,vegan,32.24,221.1,103.54,2022-10-16,20:06:32,356.88
Vegan Dark Chocolate-Avocado Cake recipes,american,vegan,70.04,956.9,298.71,2022-10-16,20:07:26,1325.65
Vegan Double Caramel Flan,american,vegan,23.14,313.45,51.01,2022-10-16,20:04:50,387.6
Vegan Dumplings,american,vegan,8.71,102.45,18.76,2022-10-16,20:03:44,129.92
Vegan Eclairs,american,vegan,24.67,231.46,65.08,2022-10-16,20:13:00,321.21
Vegan Egg Salad Sandwich recipes,american,vegan,74.95,102.31,85.59,2022-10-16,20:03:30,262.85
Vegan Eggnog,american,vegan,20.61,106.595,71.86,2022-10-16,20:03:50,199.06
"Vegan Eggnog (Dairy Free, Egg Free, Gluten Free)",american,vegan,91.05,155.31,215.85,2022-10-16,20:08:13,462.21
Vegan Eggnog Martini,world,vegan,1.32,11.41,1.27,2022-10-16,20:13:13,14.0
Vegan Eggplant Lasagna,american,vegan,47.9,97.41,28.47,2022-10-16,20:13:00,173.78
Vegan Eggplant Lasagna,italian,vegan,130.69,183.5,96.88,2022-10-16,20:04:17,411.07
Vegan Eggplant Parmesan,american,vegan,53.02,221.99,68.26,2022-10-16,20:02:56,343.27
Vegan Enchilada Casserole,american,vegan,151.55,654.47,56.44,2022-10-16,20:04:30,862.46
Vegan Eton mess,american,vegan,46.27,297.82,26.19,2022-10-16,20:02:42,370.28
"Vegan Farro Risotto with Fennel, Peas and Greens",italian,vegan,41.38,190.32,76.47,2022-10-16,20:07:53,308.17
Vegan Fettuccine Alfredo Recipe,american,vegan,125.93,357.2,139.6,2022-10-16,20:05:04,622.73
Vegan Fig Galette,american,vegan,52.72,880.99,346.35,2022-10-16,20:02:49,1280.06
Vegan Fluffy Buttercream Frosting recipes,american,vegan,1.19,424.99,193.24,2022-10-16,20:06:05,619.42
Vegan French Onion Dip,american,vegan,41.865,103.165,113.86500000000001,2022-10-16,20:02:42,258.9
Vegan French-Fried Onions,american,vegan,7.01,45.29,7.68,2022-10-16,20:04:50,59.98
Vegan Fresh Pasta Dough.,american,vegan,35.58,262.82,7.89,2022-10-16,20:05:17,306.29
Vegan Frosting,american,vegan,1.45,0.1,301.59,2022-10-16,20:03:37,303.14
Vegan Garden Pesto With Miso and Mixed Herbs Recipe,american,vegan,10.74,18.94,124.83,2022-10-16,20:08:06,154.51
Vegan Garlic Butter,american,vegan,10.0,5.68,114.04,2022-10-16,20:13:07,129.72
Vegan Garlic Scrape and Mushroom Rice,american,vegan,29.91,145.23,15.92,2022-10-16,20:06:45,191.06
Vegan Ginger Sticky Date Pudding & Cardamom Toffee,british,vegan,43.95,859.11,287.58,2022-10-16,20:02:49,1190.64
Vegan Grape Jelly recipes,american,vegan,1.09,99.98,0.24,2022-10-16,20:05:04,101.31
Vegan Gravy,american,vegan,11.486666666666666,59.416666666666664,35.053333333333335,2022-10-16,20:03:50,105.96
Vegan Green Bean Casserole Recipe,american,vegan,41.54,127.28,418.85,2022-10-16,20:06:25,587.67
Vegan Green-Goddess Dip,american,vegan,3.6,13.98,71.09,2022-10-16,20:05:24,88.67
Vegan Grits,american,vegan,3.98,41.13,28.01,2022-10-16,20:13:27,73.12
Vegan Gyoza,american,vegan,198.89,851.59,80.86,2022-10-16,20:03:50,1131.34
Vegan Harvest Vegetable Tart recipes,american,vegan,92.46,214.57,116.61,2022-10-16,20:06:45,423.64
Vegan Herb Butter,american,vegan,0.73,1.97,109.17,2022-10-16,20:13:27,111.87
Vegan Hoppin' John,american,vegan,45.97,391.64,27.27,2022-10-16,20:04:17,464.88
Vegan Hot and Sour Soup with Tofu recipes,american,vegan,81.76,53.77,82.74,2022-10-16,20:07:53,218.27
Vegan Huevos Rancheros Are 10/10 Would Make Again,american,vegan,93.69,284.36,66.49,2022-10-16,20:08:13,444.54
Vegan Italian Cold Cut Sandwich,american,vegan,54.22,143.1,81.73,2022-10-16,20:02:29,279.05
Vegan Italian Garbanzo Bean Soup,american,vegan,29.6,113.87,21.94,2022-10-16,20:06:32,165.41
Vegan Italian Roasted Eggplant Bisque,american,vegan,22.05,79.91,36.02,2022-10-16,20:03:17,137.98
Vegan Jackfruit Tacos,american,vegan,63.86,303.01,67.49,2022-10-16,20:04:24,434.36
Vegan Jalapeno Poppers,american,vegan,21.44,93.99,63.25,2022-10-16,20:13:07,178.68
Vegan Jambalaya,american,vegan,62.465,230.53500000000003,56.58,2022-10-16,20:02:42,349.58
Vegan Jelly-Filled Muffins Recipe,american,vegan,20.55,440.45,79.32,2022-10-16,20:06:05,540.32
Vegan Kaju Matar Masala | Vegan Cashew and Green Peas Curry,indian,vegan,39.11,104.85,97.12,2022-10-16,20:05:04,241.08
Vegan Kale And Leek Bake recipes,american,vegan,40.32,217.22,141.53,2022-10-16,20:03:03,399.07
Vegan Kale Caesar Salad,american,vegan,31.369999999999997,73.11,31.745,2022-10-16,20:05:38,136.22
Vegan Kale Pesto Gnocchi,american,vegan,40.87,187.62,41.62,2022-10-16,20:13:13,270.11
